trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-93.76213156946596,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-109.09959264214449,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,10,-58.03653142750084,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-89.49792387929,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-69.13301083305991,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-125.2098833201735,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,0,-69.25432354604541,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,7,-58.55097347954178,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,0,-79.00819978232833,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-138.01968931955213,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-88.25302020108772,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,0,-77.28836872050861,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-50.92467787788092,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,12,-7.047543314227742,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-31.41457649931384,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,0,-31.075893878494476,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-94.07686869493114,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.6749999999999997}",30,0,-147.906507771661,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-63.93696843730402,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,0,-128.57903138684642,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-32.048425924270134,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-77.34163749554875,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,8,10.391006653945478,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,11,-25.676899344810792,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-88.42191727786292,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
